a,w,a_change,w_change
18,-4,1.291793496666666,1.4321987225000001
18,-3,2.745016115000001,3.03308188925
18,-2,8.64819339,9.544226905
18,-1,3.1247939657142862,2.7238921840000003
18,0,2.9507522457142854,2.6572156611428572
18,1,2.0983467088888887,3.0468668099999996
18,2,1.7517951520000004,2.8160192206
18,3,2.48538485,2.786369813
18,4,1.6392918649999997,2.29371966125
18,5,0.5524720341666666,3.0564194048749997
18,6,1.4441631245454554,2.2004733177272726
18,7,1.2442845344000004,3.0117973167999996
18,8,1.5595608033333335,2.795514195444444
18,9,1.728376579,2.19721873735
18,10,2.3783667046666666,2.0301070431333335
18,11,1.7661868288461542,2.467794584230769
18,12,1.405033214583333,1.910466925833333
18,13,1.8579296662068965,2.3638705558620687
18,14,2.605102726086956,3.0812391052173904
18,15,4.439399064444444,2.3419502933333334
18,16,2.7364314223529416,2.71968400882353
18,17,1.4045171800000003,1.3261746575000004
18,18,3.7635879460000004,1.2978176019999998
18,19,1.1736669492307699,1.1155345330769226
18,20,0.845370033333333,1.376261053333333
18,21,1.7526560274999992,1.9392871100000009
18,22,3.407387888,2.8623386600000003
18,23,1.5756065324999993,2.0564374675000003
18,24,0.16305158499999983,2.0093057099999996
18,25,-0.00532882999999984,1.7804741799999988
18,26,0.0849775133333323,2.0427535099999994
18,27,0.011537323333333424,1.7156616333333332
19,-24,4.529850570000001,2.2184871699999995
19,-23,3.070827440000002,1.8302265800000015
19,-22,3.5425915999999997,2.772647485000002
19,-21,4.841741933333334,1.9189358400000007
19,-20,3.6617503449999997,1.6956424699999992
19,-19,3.957876532500001,1.8386343675
19,-18,2.9899551460000007,1.9319773100000006
19,-17,2.0023379433333326,2.846401414999999
19,-16,1.2113521683333321,3.0118872284999996
19,-15,0.8415145083333334,2.794579231
19,-13,0.8530984149999993,2.7501544886666665
19,-12,2.9121158940000003,3.9720596238000008
19,-11,0.9043860224999993,5.574513512749999
19,-10,3.7724076699999998,3.2448825560000003
19,-9,2.622234474999999,2.4156169025
19,-8,0.31990870800000054,3.6998889546
19,-7,1.3726142,4.073070274
19,-6,-1.2386832249999995,4.4464230350000005
19,-5,1.2978970966666676,1.0570590526666663
19,-4,0.8857210137499989,1.7234283009999998
19,-3,-1.832430363333333,4.066674785666667
19,-2,1.2570707860000006,2.6274704713999997
19,0,2.014342718333333,3.5082342405
19,1,2.3949289099999995,3.6727381379999997
19,2,0.216514250000001,3.211715287285714
19,3,-0.2802851464285719,4.442606821642857
19,4,0.05920054370370362,3.288520278703704
19,5,0.48172675692307665,3.4691383129999998
19,6,0.7497221883333328,2.52608462175
19,7,0.9786194207692311,3.0167926048461533
19,8,0.9019331012499998,3.2726965134999997
19,9,1.5921669124000004,2.3833054856400007
19,10,2.0215050477777776,2.386588291074074
19,11,2.3843833304761906,1.683974141095238
